X,date,count,event,semester,type,tag75,tag69,tag66,substitute_time,datetime,posix,weekday,year,semester_week,pred
989,2016-02-02,1286,No Event,Spring,Dinner, rice; crab rangoons; jasmine duck stir beef broccoli fry; with, rice; rangoons; crab duck jasmine broccoli beef stir with fry;, rice; rangoons; crab duck jasmine broccoli beef stir with fry;,18:00:00,2016-02-02 18:00:00,2016-02-02 18:00:00,Tuesday,2016,2,1359.6959071165597
990,2016-02-03,1046,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-03 8:00:00,2016-02-03 08:00:00,Wednesday,2016,2,1013.5661431201634
991,2016-02-03,985,No Event,Spring,Lunch, hot burger; hamburger beef all dog, hot burger; hamburger french dog beef all, hot burger; hamburger french dog beef all,13:00:00,2016-02-03 13:00:00,2016-02-03 13:00:00,Wednesday,2016,2,986.5333089550599
992,2016-02-03,1490,No Event,Spring,Dinner, roasted southern tips mushrooms; red sirloin fried mashed with, roasted with steamed broccoli mashed red, roasted steamed with broccoli rosemary red mashed,18:00:00,2016-02-03 18:00:00,2016-02-03 18:00:00,Wednesday,2016,2,1355.5144768765488
993,2016-02-04,861,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-04 8:00:00,2016-02-04 08:00:00,Thursday,2016,2,860.8750990163193
994,2016-02-04,866,No Event,Spring,Lunch, cantina bar taco, cantina bar taco, cantina bar taco,13:00:00,2016-02-04 13:00:00,2016-02-04 13:00:00,Thursday,2016,2,888.9496412566473
995,2016-02-04,1205,No Event,Spring,Dinner, with basmati indian of spiced lamb citrus mint; potatoes; roast leg and, with basmati indian spiced potatoes; mint; citrus and of leg roast lamb, with basmati indian spiced potatoes; mint; citrus and of leg roast lamb,18:00:00,2016-02-04 18:00:00,2016-02-04 18:00:00,Thursday,2016,2,1188.1500824132645
996,2016-02-05,958,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-05 8:00:00,2016-02-05 08:00:00,Friday,2016,3,869.2230291443108
997,2016-02-05,692,No Event,Spring,Lunch, tartar cole slaw; chop american new england, tartar slaw; cole new england fry; fish, tartar slaw; cole new england fry; fish,13:00:00,2016-02-05 13:00:00,2016-02-05 13:00:00,Friday,2016,3,782.1118816692929
998,2016-02-05,812,No Event,Spring,Dinner, and roast sauce; chicken porcini in, and porcini sauce; in chicken roast, and sauce; in chicken roast porcini,18:00:00,2016-02-05 18:00:00,2016-02-05 18:00:00,Friday,2016,3,863.0470191644758
999,2016-02-06,484,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-06 8:00:00,2016-02-06 08:00:00,Saturday,2016,3,546.7226935022777
1000,2016-02-06,817,No Event,Spring,Lunch, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,13:00:00,2016-02-06 13:00:00,2016-02-06 13:00:00,Saturday,2016,3,840.2487327392436
1001,2016-02-06,1041,No Event,Spring,Dinner, chicken wings; cheese celery; blue bbq carrots; honey buffalo, chicken wings; cheese buffalo philly cheesesteak beef;, chicken wings; cheese buffalo philly cheesesteak beef;,18:00:00,2016-02-06 18:00:00,2016-02-06 18:00:00,Saturday,2016,3,1029.3921280731547
1002,2016-02-07,345,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-07 8:00:00,2016-02-07 08:00:00,Sunday,2016,3,423.2243581688301
1003,2016-02-07,922,No Event,Spring,Lunch, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,13:00:00,2016-02-07 13:00:00,2016-02-07 13:00:00,Sunday,2016,3,877.9117140521053
1004,2016-02-07,860,No Event,Spring,Dinner, of gravy; mashed roast breast roasted, of mashed roast gravy; breast roasted, roasted of new butter; potatoes roast,18:00:00,2016-02-07 18:00:00,2016-02-07 18:00:00,Sunday,2016,3,1074.6795060173552
1005,2016-02-08,883,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-08 8:00:00,2016-02-08 08:00:00,Monday,2016,3,962.3299822496656
1006,2016-02-08,816,No Event,Spring,Lunch, garlic herb steamed and chicken broccoli, chicken herb and broccoli steamed garlic, chicken herb and broccoli steamed garlic,13:00:00,2016-02-08 13:00:00,2016-02-08 13:00:00,Monday,2016,3,856.1608361692748
1007,2016-02-08,1387,No Event,Spring,Dinner, tortilla; corn fajita filling; chicken with, tortilla; corn fajita filling; chicken with, tortilla; filling; fajita corn chicken black,18:00:00,2016-02-08 18:00:00,2016-02-08 18:00:00,Monday,2016,3,1393.62948668978
1008,2016-02-09,899,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-09 8:00:00,2016-02-09 08:00:00,Tuesday,2016,3,909.8423589065826
1009,2016-02-09,828,No Event,Spring,Lunch, sweet rice choux sandwich; blackened potato muffuletta pilaf; corn creole; gaufrettes; catfish maque,other,other,13:00:00,2016-02-09 13:00:00,2016-02-09 13:00:00,Tuesday,2016,3,807.3321208821402
1010,2016-02-09,1304,No Event,Spring,Dinner, and cajun creole rice; crawfish roasted fried peas broccolini; shrimp jambalaya; eyed dirty boil; chicken; black,other,other,18:00:00,2016-02-09 18:00:00,2016-02-09 18:00:00,Tuesday,2016,3,1409.745550188276
1011,2016-02-10,987,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-10 8:00:00,2016-02-10 08:00:00,Wednesday,2016,3,1001.9979144621384
1012,2016-02-10,920,No Event,Spring,Lunch, sandwich; charlie's steak chicken seeded steakhouse, sausage patty; chicken sandwich; (no mccharlie sausage); tater egg, sausage patty; chicken sandwich; (no mccharlie sausage); tater egg,13:00:00,2016-02-10 13:00:00,2016-02-10 13:00:00,Wednesday,2016,3,964.5764208722829
1013,2016-02-10,1370,No Event,Spring,Dinner, steamed short kalbi fried chicken; breast teriyaki ribs; beef of, steamed short breast of fried ribs; kalbi beef chicken; teriyaki, steamed short breast of fried ribs; kalbi beef chicken; teriyaki,18:00:00,2016-02-10 18:00:00,2016-02-10 18:00:00,Wednesday,2016,3,1309.9958814689592
1014,2016-02-11,355,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-11 8:00:00,2016-02-11 08:00:00,Thursday,2016,3,849.3068703582942
1015,2016-02-11,983,No Event,Spring,Lunch, southwestern cole sweet water potato roll; chicken;, pulled chicken; sweet potato pork; roll; water, pulled potato sweet chicken; water roll;,13:00:00,2016-02-11 13:00:00,2016-02-11 13:00:00,Thursday,2016,3,914.5801897747887
1016,2016-02-11,1065,No Event,Spring,Dinner, hot burger; hamburger beef all dog, hot burger; hamburger french dog beef all, hot burger; hamburger french dog beef all,18:00:00,2016-02-11 18:00:00,2016-02-11 18:00:00,Thursday,2016,3,1328.0693640399008
1017,2016-02-12,870,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-12 8:00:00,2016-02-12 08:00:00,Friday,2016,4,857.6548004862855
1018,2016-02-12,698,No Event,Spring,Lunch, grilled and vermont tomato; cheddar cheese;, grilled and cheese; tomato; vermont cheddar, grilled and cheese; tomato; vermont cheddar,13:00:00,2016-02-12 13:00:00,2016-02-12 13:00:00,Friday,2016,4,795.4325434270754
1019,2016-02-12,856,No Event,Spring,Dinner, cous roasted shrimp vegetables; honey and chicken; harissa casablanca chraime; tfaya, cous roasted harissa chicken; and honey, cous roasted harissa chicken; and honey,18:00:00,2016-02-12 18:00:00,2016-02-12 18:00:00,Friday,2016,4,867.9577469892035
1020,2016-02-13,400,No Event,Spring,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2016-02-13 8:00:00,2016-02-13 08:00:00,Saturday,2016,4,535.1544648442524
1021,2016-02-13,816,No Event,Spring,Lunch, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,13:00:00,2016-02-13 13:00:00,2016-02-13 13:00:00,Saturday,2016,4,830.7125181249468
