"","date","count","event","semester","type","tag75","tag69","tag66","substitute_time","datetime","posix","weekday","year","semester_week"
"301",2014-12-14,912,"Reading Study Period","Fall","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-12-14 13:00:00",2014-12-14 13:00:00,"Sunday",2014,16
"302",2014-12-14,995,"Reading Study Period","Fall","Dinner"," new roasted in butter; potatoes parsley beets;"," new roasted in parsley butter; beets; potatoes"," roasted of new butter; potatoes roast","18:00:00","2014-12-14 18:00:00",2014-12-14 18:00:00,"Sunday",2014,16
"303",2014-12-15,731,"Final Exam Period","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-12-15 8:00:00",2014-12-15 08:00:00,"Monday",2014,16
"304",2014-12-15,839,"Final Exam Period","Fall","Lunch"," gyro; olives; cheese; feta tzatziki kalamata lettuce; iceberg pita bread;"," gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita"," gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita","13:00:00","2014-12-15 13:00:00",2014-12-15 13:00:00,"Monday",2014,16
"305",2014-12-15,1295,"Final Exam Period","Fall","Dinner"," bbq chicken; pork corn spare smoky ribs; mountain"," bbq pork chicken; spare corn and"," bbq pork chicken; spare corn and","18:00:00","2014-12-15 18:00:00",2014-12-15 18:00:00,"Monday",2014,16
"306",2014-12-16,677,"Final Exam Period","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-12-16 8:00:00",2014-12-16 08:00:00,"Tuesday",2014,16
"307",2014-12-16,779,"Final Exam Period","Fall","Lunch"," xxx arugula hummus, and with chicken moz grilled arugula, fontina; & fresh"," xxx moz with fontina; hummus, arugula, chicken grilled fresh arugula and &"," xxx moz with fontina; hummus, arugula, chicken grilled fresh arugula and &","13:00:00","2014-12-16 13:00:00",2014-12-16 13:00:00,"Tuesday",2014,16
"308",2014-12-16,992,"Final Exam Period","Fall","Dinner"," rice; chicken vegetable curry; spring duck and green roll; jasmine vegetables; scallion emerald"," rice; emerald vegetables; scallion roll; and vegetable curry; jasmine duck spring green chicken"," rice; green vegetable roll; duck sauce","18:00:00","2014-12-16 18:00:00",2014-12-16 18:00:00,"Tuesday",2014,16
"309",2014-12-17,542,"Final Exam Period","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-12-17 8:00:00",2014-12-17 08:00:00,"Wednesday",2014,17
"310",2014-12-17,679,"Final Exam Period","Fall","Lunch"," torta; chicken mole cuban corn blue tortilla"," torta; chicken mole cuban corn tortilla blue"," torta; chicken mole cuban corn tortilla blue","13:00:00","2014-12-17 13:00:00",2014-12-17 13:00:00,"Wednesday",2014,17
"311",2014-12-17,895,"Final Exam Period","Fall","Dinner"," lasagna zucchini red al and with eggplant"," lasagna al zucchini and chicken forno; marsala;"," lasagna al zucchini and chicken forno;","18:00:00","2014-12-17 18:00:00",2014-12-17 18:00:00,"Wednesday",2014,17
"312",2014-12-18,445,"Final Exam Period","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-12-18 8:00:00",2014-12-18 08:00:00,"Thursday",2014,17
"313",2014-12-18,678,"Final Exam Period","Fall","Lunch"," wrap - xxx val buffalo burger chicken"," - wrap xxx burger val buffalo chicken"," - wrap xxx burger val buffalo chicken","13:00:00","2014-12-18 13:00:00",2014-12-18 13:00:00,"Thursday",2014,17
"314",2014-12-18,659,"Final Exam Period","Fall","Dinner"," honey of potatoes; steamed roasted lamb apples; lavender with leg chicken; and roast cider beans green mashed"," mashed potatoes; steamed roast chicken; leg cider of with beans apples; and lamb roasted green lavender honey"," mashed potatoes; steamed roast chicken; leg cider of with beans apples; and lamb roasted green lavender honey","18:00:00","2014-12-18 18:00:00",2014-12-18 18:00:00,"Thursday",2014,17
"315",2014-12-19,344,"Final Exam Period","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-12-19 8:00:00",2014-12-19 08:00:00,"Friday",2014,17
"316",2014-12-19,619,"Final Exam Period","Fall","Lunch"," posted at door menu"," menu at door posted"," menu at door posted","13:00:00","2014-12-19 13:00:00",2014-12-19 13:00:00,"Friday",2014,17
"317",2014-12-19,332,"Final Exam Period","Fall","Dinner"," steamed rice bison chili; turkey carrots;"," steamed bison rice chili; turkey carrots;"," steamed rice bison turkey chili; carrots;","18:00:00","2014-12-19 18:00:00",2014-12-19 18:00:00,"Friday",2014,17
"318",2015-01-22,1103,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-22 8:00:00",2015-01-22 08:00:00,"Thursday",2015,1
"319",2015-01-22,1030,"No Event","Spring","Lunch"," sauce; cheese peas marinara alfredo steamed bolognese"," sauce; cheese alfredo peas marinara bolognese steamed"," sauce; cheese marinara steamed alfredo peas bolognese","13:00:00","2015-01-22 13:00:00",2015-01-22 13:00:00,"Thursday",2015,1
"320",2015-01-22,1296,"No Event","Spring","Dinner"," steamed rice bison chili; turkey carrots;"," steamed bison rice chili; turkey carrots;"," steamed rice bison turkey chili; carrots;","18:00:00","2015-01-22 18:00:00",2015-01-22 18:00:00,"Thursday",2015,1
"321",2015-01-23,1200,"No Event","Spring","Dinner"," hot burger; hamburger beef all dog"," hot burger; hamburger french dog beef all"," hot burger; hamburger french dog beef all","18:00:00","2015-01-23 18:00:00",2015-01-23 18:00:00,"Friday",2015,1
"322",2015-01-24,471,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-24 8:00:00",2015-01-24 08:00:00,"Saturday",2015,1
"323",2015-01-24,1092,"No Event","Spring","Lunch"," hamburger xxx bun; breakfast waffle chicken buffalo free fries; cage sub; breast; scrambled bacon; uncured pork meatball"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2015-01-24 13:00:00",2015-01-24 13:00:00,"Saturday",2015,1
"324",2015-01-24,1106,"No Event","Spring","Dinner"," grilled and vermont tomato; cheddar cheese;"," grilled and cheese; tomato; vermont cheddar"," grilled and cheese; tomato; vermont cheddar","18:00:00","2015-01-24 18:00:00",2015-01-24 18:00:00,"Saturday",2015,1
